date,січ.-11,лют.-11,бер.-11,квіт.-11,трав.-11,черв.-11,лип.-11,серп.-11,вер.-11,жовт.-11,лист.-11,груд.-11,січ.-12,лют.-12,бер.-12,квіт.-12,трав.-12,черв.-12,лип.-12,серп.-12,вер.-12,жовт.-12,лист.-12,груд.-12,січ.-13,лют.-13,бер.-13,квіт.-13,трав.-13,черв.-13,лип.-13,серп.-13,вер.-13,жовт.-13,лист.-13,груд.-13,січ.-14,лют.-14,бер.-14,квіт.-14,трав.-14,черв.-14,лип.-14,серп.-14,вер.-14,жовт.-14,лист.-14,груд.-14,січ.-15,лют.-15,бер.-15,квіт.-15,трав.-15,черв.-15,лип.-15,серп.-15,вер.-15,жовт.-15,лист.-15,груд.-15,січ.-16,лют.-16,бер.-16,квіт.-16,трав.-16,черв.-16,лип.-16,серп.-16,вер.-16,жовт.-16,лист.-16,груд.-16,січ.-17,лют.-17,бер.-17,квіт.-17,трав.-17,черв.-17,лип.-17,серп.-17,вер.-17,жовт.-17,лист.-17,груд.-17,січ.-18,лют.-18,бер.-18,квіт.-18,трав.-18,черв.-18,лип.-18,серп.-18,вер.-18,жовт.-18,лист.-18,груд.-18,січ.-19,лют.-19,бер.-19,квіт.-19,трав.-19,черв.-19,лип.-19,серп.-19,вер.-19,жовт.-19,лист.-19,груд.-19,січ.-20,лют.-20,бер.-20,квіт.-20,трав.-20,черв.-20,лип.-20,серп.-20,вер.-20,жовт.-20,лист.-20,груд.-20,січ.-21,лют.-21,бер.-21,квіт.-21,трав.-21,черв.-21,лип.-21,серп.-21,вер.-21,жовт.-21,лист.-21,груд.-21,січ.-22,лют.-22,бер.-22,квіт.-22,трав.-22,черв.-22,лип.-22,серп.-22,вер.-22,жовт.-22,лист.-22,груд.-22,січ.23,лют.23,бер.-23,квіт.-23,трав.-23,черв.-23,лип.-23,серп.-23,вер.-23,жовт.-23,лист.-23,груд.-23,січ.-24,лют.-24,бер.-24,квіт.24,трав.-24,черв.24,лип.-24,серп.-24,вер.24,жовт.-24,лист.24,груд.-24,січ.-25,лют.25,бер.-25,квіт.-25,трав.-25,черв.25,лип.-25,серп.-25,вер.-25,жовт.-25,лист.-25,груд.25,січ.-26,лют.26
oilgas,"355,6","336,7","441,8","446,4","486,5","473,4","479,4","489,2","480,9","545,4","523,5","583,0","530,2","485,6","529,1","560,0","583,3","538,0","508,4","490,5","514,7","536,5","566,3","610,7","465,9","510,8","527,0","583,9","523,7","487,8","536,6","544,8","593,6","585,4","581,1","593,3","615,0","618,7","592,9","690,0","632,0","554,7","610,4","573,5","607,4","618,4","605,6","715,0","520,8","525,6","499,2","472,9","452,9","504,6","529,1","528,1","478,4","459,5","440,0","451,6","371,1","316,7","304,5","326,3","364,4","425,4","445,3","440,1","425,8","434,2","496,4","494,0","485,1","529,8","503,0","456,3","465,8","448,6","416,0","449,4","492,3","518,7","569,9","637,1","661,3","628,2","570,1","630,7","684,5","760,2","749,2","817,5","800,3","920,0","959,6","836,1","680,8","686,6","626,0","729,2","697,7","701,6","661,0","624,6","600,5","668,7","588,7","658,8","615,9","608,3","563,7","434,6","214,2","224,3","341,0","404,9","447,1","474,5","453,7","453,0","490,8","544,9","582,3","893,4","617,6","647,0","994,0","695,8","718,9","1 107,9","884,7","879,1","794,5","971,7","1 208,1","1 812,4","871,4","717,9","774,4","668,1","688,2","1 281,7","866,4","931,5","425,5","521,2","688,1","647,5","570,7","528,6","811,3","642,7","739,9","1 634,6","1 016,1","596,1","675,2","945,6","1 307,5","1 229,0","793,7","746,6","1 079,3","778,6","771,9","1 211,8","801,7","790,2","789,1","771,3","1 081,3","1 085,6","512,7","494,8","787,3","505,0","582,5","888,6","530,9","447,8","393,3","432,3"
nooilgas,"449,3","364,0","445,4","500,5","373,9","633,0","448,0","497,2","511,9","482,4","400,5","619,9","529,3","320,9","571,3","532,4","441,4","579,0","537,2","615,6","518,6","531,3","385,3","840,0","627,2","377,4","597,4","534,9","367,4","654,3","535,7","543,3","592,7","550,7","437,0","667,9","711,6","423,1","560,0","542,9","496,3","683,6","524,3","610,5","651,3","574,9","454,2","830,4","803,4","429,2","659,9","639,1","357,8","755,5","646,1","635,8","707,1","732,4","398,9","1 031,5","723,0","431,2","764,3","673,1","371,2","797,7","656,2","733,6","725,7","712,0","498,8","1 529,2","780,9","495,1","839,4","674,1","601,0","842,9","833,2","787,4","871,3","793,5","565,2","1 033,1","643,1","602,1","971,5","822,0","701,3","951,7","1 120,2","908,7","963,5","896,2","693,0","1 163,3","805,6","671,0","1 120,0","1 041,9","808,5","980,9","1 260,4","1 160,8","1 177,5","967,8","765,8","1 504,3","940,6","654,0","1 348,8","1 836,1","674,8","976,5","966,8","883,7","1 081,3","1 454,2","929,5","1 737,5","1 013,2","706,7","1 962,1","1 293,5","1 215,9","1 298,5","1 391,3","1 350,8","1 507,2","1 400,0","1 123,6","1 967,2","1 294,3","1 145,0","1 749,5","1 058,3","1 137,6","1 256,5","982,9","1 164,1","1 444,5","1 118,6","1 773,9","2 113,0","931,5","1 286,0","1 826,6","1 458,7","1 462,9","2 034,3","1 332,6","1 823,4","2 003,1","1 738,3","1 840,6","2 564,0","1 722,1","1 684,9","2 386,3","1 738,7","1 809,1","2 058,8","1 576,3","2 504,6","2 476,6","2 182,2","2 196,9","3 241,0","1 883,3","1 903,6","2 626,5","2 138,8","1 948,2","2 359,2","1 945,9","2 906,9","2 631,6","2 097,4","2 475,2","3 890,1","1 971,0","1 970,8"
spending,"657,4","769,8","787,6","961,9","638,2","788,1","874,7","954,0","650,6","735,9","977,3","2 130,3","1 032,4","1 033,3","970,8","1 073,6","841,1","978,5","1 031,1","858,9","894,5","1 015,2","881,8","2 283,8","1 108,7","1 041,6","1 017,5","1 063,0","693,4","965,5","1 153,0","935,2","973,6","1 129,9","1 035,2","2 226,2","761,2","1 500,4","1 084,1","1 280,5","780,2","995,7","1 114,4","950,8","1 061,7","1 184,9","925,3","3 192,4","1 540,0","1 418,7","1 171,3","1 326,8","847,7","1 114,1","1 420,1","1 028,3","927,3","1 189,3","1 037,4","2 599,3","693,6","1 247,1","1 608,6","1 496,5","993,4","1 258,7","1 114,3","1 176,3","1 216,4","1 151,7","1 213,8","3 246,0","1 230,5","1 141,4","1 534,8","1 371,3","1 114,6","1 137,3","1 263,1","1 209,2","1 189,0","1 352,5","1 374,0","2 502,6","1 113,4","1 194,2","1 423,2","1 615,8","1 107,1","1 297,6","1 363,2","1 146,5","1 109,1","1 349,9","1 292,1","2 700,8","1 119,6","1 345,6","1 458,8","1 621,3","1 038,8","1 270,0","1 466,1","1 262,2","1 365,8","1 567,0","1 411,1","3 288,2","1 624,4","1 357,8","1 635,8","2 137,4","1 409,4","1 750,3","1 879,9","1 461,9","1 616,7","1 968,6","2 089,4","3 890,0","1 560,0","1 731,9","1 721,4","2 143,7","1 721,2","1 612,9","2 124,7","2 004,9","1 678,1","1 835,8","1 806,3","4 821,2","1 832,7","1 835,5","2 191,5","3 009,8","1 584,2","2 081,1","2 682,1","2 097,8","2 221,9","2 248,2","2 252,3","7 081,9","3 006,3","2 536,8","2 221,6","3 069,8","2 013,7","1 883,5","2 381,6","2 006,3","2 064,9","2 972,6","2 554,5","5 642,1","2 521,3","3 636,8","2 858,9","3 812,6","2 193,0","2 677,4","3 151,5","2 212,5","2 642,4","3 848,3","3 484,4","7 141,5","4 138,6","3 624,9","3 251,5","4 195,2","2 559,2","3 211,4","3 968,3","2 710,6","2 764,3","3 457,7","3 074,0","5 953,4","3 993,3","4 222,9"
